student_id,study_hours_per_week,exercise_hours_per_week,sleep_hours_per_night,screen_hours_per_day,enjoys_group_work,lunch_at_school,favorite_subject_Arts,favorite_subject_Language,favorite_subject_Math,favorite_subject_Other,favorite_subject_Science,lifestyle_profile
S0001,26,0,7.3,5.2,0,1,0,1,0,0,0,Academic_Focused
S0002,8,3,5.3,7.9,0,1,0,0,0,1,0,Screen_Heavy
S0003,17,8,7.7,1.6,1,1,0,0,0,1,0,Sport_Focused
S0004,27,3,7.8,3.8,1,0,0,1,0,0,0,Academic_Focused
S0005,18,4,7.2,4.5,0,1,0,0,0,0,1,Balanced
S0006,10,2,8.3,5.5,0,1,1,0,0,0,0,Balanced
S0007,21,6,6.7,5.9,0,1,0,1,0,0,0,Balanced
S0008,10,4,6.1,10.8,0,0,1,0,0,0,0,Screen_Heavy
S0009,8,4,7.0,4.7,1,1,0,0,0,0,1,Sport_Focused
S0010,11,6,7.5,3.9,1,1,0,0,0,0,1,Sport_Focused
S0011,17,3,8.9,4.0,0,1,0,0,1,0,0,Balanced
S0012,15,2,7.0,7.0,1,1,0,1,0,0,0,Screen_Heavy
S0013,12,3,5.5,9.1,0,1,1,0,0,0,0,Screen_Heavy
S0014,18,2,7.6,5.0,0,1,0,1,0,0,0,Balanced
S0015,19,2,8.4,7.7,1,1,0,0,0,0,1,Balanced
S0016,17,1,7.5,4.7,1,1,0,0,1,0,0,Balanced
S0017,11,2,8.0,3.6,1,0,0,0,0,0,1,Balanced
S0018,25,5,7.1,5.7,0,0,0,0,0,0,1,Academic_Focused
S0019,26,6,6.7,5.1,1,1,0,0,1,0,0,Academic_Focused
S0020,19,4,7.6,4.8,0,1,0,0,0,1,0,Balanced
S0021,14,8,8.2,2.3,0,0,0,0,0,0,1,Sport_Focused
S0022,17,5,8.0,2.8,1,1,0,0,1,0,0,Balanced
S0023,17,5,8.2,4.6,0,0,1,0,0,0,0,Balanced
S0024,23,3,7.8,1.9,0,1,0,0,1,0,0,Academic_Focused
S0025,23,3,7.3,2.9,1,1,0,0,1,0,0,Academic_Focused
S0026,21,8,7.2,6.3,0,1,0,0,0,0,1,Sport_Focused
S0027,13,5,7.9,6.5,0,0,1,0,0,0,0,Balanced
S0028,23,2,5.7,2.9,0,0,0,0,1,0,0,Academic_Focused
S0029,26,2,7.4,7.4,0,1,0,0,1,0,0,Academic_Focused
S0030,17,3,7.3,5.0,1,1,0,0,0,1,0,Balanced
S0031,16,9,7.4,5.7,1,1,0,0,0,0,1,Sport_Focused
S0032,13,4,7.1,5.0,1,0,0,0,0,1,0,Balanced
S0033,16,1,7.2,1.4,0,0,0,1,0,0,0,Balanced
S0034,6,2,6.5,5.7,0,1,1,0,0,0,0,Screen_Heavy
S0035,6,2,6.3,7.8,1,1,0,1,0,0,0,Screen_Heavy
S0036,17,3,6.0,9.1,1,1,0,1,0,0,0,Screen_Heavy
S0037,25,6,7.7,6.0,1,0,1,0,0,0,0,Balanced
S0038,23,5,8.7,4.0,1,1,0,0,1,0,0,Balanced
S0039,18,11,7.3,6.7,1,1,0,0,1,0,0,Sport_Focused
S0040,27,4,6.6,3.8,1,1,0,0,1,0,0,Academic_Focused
S0041,20,1,7.0,5.0,0,1,0,1,0,0,0,Balanced
S0042,29,3,7.7,5.7,1,1,0,0,1,0,0,Academic_Focused
S0043,19,7,8.5,4.3,0,0,1,0,0,0,0,Balanced
S0044,3,1,7.1,8.4,0,1,0,1,0,0,0,Screen_Heavy
S0045,15,6,7.8,5.4,1,0,0,0,0,0,1,Balanced
S0046,16,7,6.5,3.4,1,1,0,0,0,1,0,Sport_Focused
S0047,23,2,7.3,3.3,1,0,0,0,1,0,0,Balanced
S0048,25,3,5.9,7.1,1,0,0,0,1,0,0,Academic_Focused
S0049,17,2,8.4,2.8,0,1,0,0,1,0,0,Academic_Focused
S0050,13,2,6.5,6.8,1,0,1,0,0,0,0,Balanced
S0051,11,4,6.3,8.8,1,1,0,1,0,0,0,Screen_Heavy
S0052,18,8,7.9,3.4,1,1,0,0,0,0,1,Sport_Focused
S0053,11,3,6.4,10.2,1,1,1,0,0,0,0,Screen_Heavy
S0054,14,0,7.0,5.9,1,1,0,0,0,1,0,Screen_Heavy
S0055,29,3,7.4,2.2,0,1,0,1,0,0,0,Academic_Focused
S0056,20,2,6.7,10.1,0,1,0,1,0,0,0,Screen_Heavy
S0057,14,6,6.8,7.4,1,1,0,0,0,1,0,Balanced
S0058,19,3,8.0,4.4,0,0,0,0,1,0,0,Balanced
S0059,24,6,7.4,6.4,0,0,1,0,0,0,0,Balanced
S0060,21,6,8.3,4.6,1,1,0,0,1,0,0,Balanced
S0061,30,7,7.6,1.0,0,1,0,0,0,0,1,Academic_Focused
S0062,18,5,7.8,3.4,1,1,0,0,0,0,1,Balanced
S0063,10,4,6.1,8.0,1,1,0,1,0,0,0,Screen_Heavy
S0064,29,8,8.0,5.1,0,0,0,1,0,0,0,Academic_Focused
S0065,17,6,7.4,5.8,1,1,0,0,0,0,1,Balanced
S0066,33,4,7.0,5.5,1,0,0,0,0,0,1,Academic_Focused
S0067,19,5,7.6,7.0,1,1,1,0,0,0,0,Balanced
S0068,8,2,5.2,8.9,1,0,0,0,0,1,0,Screen_Heavy
S0069,16,5,7.8,5.2,0,1,0,0,0,1,0,Balanced
S0070,12,0,7.4,7.4,1,1,0,0,0,1,0,Screen_Heavy
S0071,12,10,7.3,5.4,1,1,0,0,1,0,0,Sport_Focused
S0072,27,3,7.8,3.9,1,1,0,0,0,0,1,Balanced
S0073,16,3,7.1,4.0,1,1,0,1,0,0,0,Balanced
S0074,10,6,5.9,11.3,0,1,1,0,0,0,0,Screen_Heavy
S0075,16,7,6.5,4.3,1,0,0,0,0,0,1,Sport_Focused
S0076,13,6,7.1,1.7,1,1,0,0,0,0,1,Sport_Focused
S0077,13,9,8.1,3.7,1,1,0,0,1,0,0,Sport_Focused
S0078,23,3,8.5,5.6,1,1,1,0,0,0,0,Balanced
S0079,21,4,6.4,4.2,0,1,0,0,1,0,0,Academic_Focused
S0080,22,6,6.8,4.5,0,0,0,0,0,1,0,Balanced
S0081,13,0,6.3,7.2,0,1,0,0,0,1,0,Screen_Heavy
S0082,10,8,7.1,1.7,1,1,0,0,0,0,1,Sport_Focused
S0083,23,5,7.6,4.9,1,0,0,0,0,0,1,Balanced
S0084,19,5,7.3,5.7,1,0,0,0,1,0,0,Balanced
S0085,22,4,7.7,5.5,0,1,1,0,0,0,0,Balanced
S0086,21,5,7.1,8.9,0,1,0,0,1,0,0,Balanced
S0087,21,9,7.5,1.5,1,1,0,0,0,0,1,Sport_Focused
S0088,17,8,6.4,2.5,1,1,0,0,1,0,0,Sport_Focused
S0089,5,3,7.7,10.4,1,0,0,1,0,0,0,Screen_Heavy
S0090,22,3,6.6,3.2,1,1,0,0,1,0,0,Academic_Focused
S0091,16,5,7.6,5.0,1,1,0,0,1,0,0,Balanced
S0092,17,6,7.8,4.6,1,1,0,0,0,1,0,Sport_Focused
S0093,17,4,6.7,3.4,0,1,0,0,0,0,1,Sport_Focused
S0094,24,1,7.3,6.7,1,1,0,0,0,0,1,Academic_Focused
S0095,19,7,6.8,4.3,1,1,0,0,0,0,1,Sport_Focused
S0096,28,0,5.8,4.0,1,0,0,0,1,0,0,Academic_Focused
S0097,28,1,7.3,6.4,1,0,0,1,0,0,0,Academic_Focused
S0098,27,3,7.2,3.7,0,0,0,0,1,0,0,Academic_Focused
S0099,8,5,6.6,4.6,1,1,0,0,1,0,0,Balanced
S0100,20,4,8.7,5.2,1,0,0,0,0,1,0,Balanced
S0101,22,6,6.0,5.3,1,0,1,0,0,0,0,Balanced
S0102,11,9,8.2,4.6,1,1,0,0,0,0,1,Sport_Focused
S0103,20,8,6.7,4.2,1,1,0,0,1,0,0,Balanced
S0104,29,3,6.5,3.3,1,1,0,0,1,0,0,Academic_Focused
S0105,10,3,5.6,8.7,1,1,0,1,0,0,0,Screen_Heavy
S0106,17,3,6.2,6.5,0,1,0,0,0,0,1,Balanced
S0107,24,2,7.2,5.6,0,0,0,0,1,0,0,Academic_Focused
S0108,18,6,8.2,3.3,0,1,0,0,0,1,0,Sport_Focused
S0109,19,2,7.7,4.0,0,1,0,1,0,0,0,Balanced
S0110,16,3,8.4,4.3,1,1,0,0,1,0,0,Balanced
S0111,25,6,7.7,6.4,1,1,0,0,0,1,0,Balanced
S0112,17,3,7.2,5.9,0,0,0,0,0,0,1,Balanced
S0113,16,3,7.0,3.6,0,0,1,0,0,0,0,Screen_Heavy
S0114,13,3,7.4,9.6,1,1,0,0,0,1,0,Screen_Heavy
S0115,14,6,8.2,4.4,1,1,0,0,0,0,1,Sport_Focused
S0116,8,0,7.3,7.5,0,1,1,0,0,0,0,Screen_Heavy
S0117,13,1,6.5,6.7,0,1,1,0,0,0,0,Screen_Heavy
S0118,22,2,7.8,3.8,0,0,1,0,0,0,0,Balanced
S0119,10,4,5.6,7.6,1,1,0,1,0,0,0,Screen_Heavy
S0120,27,0,7.1,5.2,0,0,0,0,1,0,0,Academic_Focused
S0121,9,1,6.2,10.2,0,1,1,0,0,0,0,Screen_Heavy
S0122,4,0,6.1,9.5,1,0,1,0,0,0,0,Screen_Heavy
S0123,16,2,7.8,4.2,0,0,0,0,0,0,1,Balanced
S0124,16,5,7.3,3.5,0,0,1,0,0,0,0,Balanced
S0125,14,3,7.7,4.7,1,0,0,0,0,0,1,Balanced
S0126,31,2,7.0,2.5,1,0,0,0,1,0,0,Academic_Focused
S0127,10,0,5.1,5.9,1,1,0,0,0,1,0,Screen_Heavy
S0128,10,3,5.2,6.9,0,1,0,0,0,1,0,Screen_Heavy
S0129,14,6,6.7,8.6,0,0,0,0,1,0,0,Balanced
S0130,23,6,7.2,2.8,0,1,0,0,0,0,1,Academic_Focused
S0131,29,0,7.2,6.9,1,0,0,0,0,0,1,Academic_Focused
S0132,14,5,6.8,6.0,1,1,0,0,0,0,1,Balanced
S0133,20,9,7.5,3.9,1,0,1,0,0,0,0,Balanced
S0134,18,8,8.0,4.5,1,0,0,0,0,0,1,Balanced
S0135,4,2,6.2,9.0,0,0,1,0,0,0,0,Screen_Heavy
S0136,22,5,7.4,9.8,1,1,1,0,0,0,0,Balanced
S0137,24,1,6.6,3.0,1,0,0,0,1,0,0,Academic_Focused
S0138,11,6,6.8,4.3,1,1,0,0,0,1,0,Sport_Focused
S0139,20,3,5.9,6.6,1,1,0,1,0,0,0,Academic_Focused
S0140,8,2,7.6,6.4,1,0,0,0,0,1,0,Screen_Heavy
S0141,11,1,5.7,7.9,1,0,0,0,0,1,0,Screen_Heavy
S0142,20,3,7.2,5.8,0,1,0,0,0,1,0,Balanced
S0143,27,3,7.2,3.1,0,1,0,1,0,0,0,Academic_Focused
S0144,14,3,7.6,5.2,1,1,0,0,0,0,1,Balanced
S0145,19,4,8.0,4.7,1,0,0,1,0,0,0,Balanced
S0146,23,8,8.1,4.4,0,1,0,1,0,0,0,Balanced
S0147,14,7,7.8,2.0,1,1,0,0,0,1,0,Sport_Focused
S0148,28,2,6.6,1.6,0,1,0,0,1,0,0,Academic_Focused
S0149,19,5,7.9,4.1,0,1,1,0,0,0,0,Balanced
S0150,19,6,6.9,5.2,1,1,1,0,0,0,0,Balanced
S0151,15,1,6.2,8.0,1,0,1,0,0,0,0,Screen_Heavy
S0152,20,4,8.0,5.7,0,0,0,0,0,1,0,Balanced
S0153,22,4,7.9,4.4,1,1,0,0,0,1,0,Balanced
S0154,17,2,5.9,5.6,0,1,0,0,1,0,0,Academic_Focused
S0155,14,5,6.4,7.7,1,1,0,0,0,1,0,Screen_Heavy
S0156,15,5,7.7,6.7,0,1,0,0,1,0,0,Balanced
S0157,11,8,6.9,2.8,0,1,0,0,0,0,1,Sport_Focused
S0158,17,10,7.0,4.1,0,0,0,0,0,0,1,Sport_Focused
S0159,14,3,7.7,5.0,1,1,0,0,1,0,0,Balanced
S0160,18,8,7.4,1.1,1,1,0,0,1,0,0,Sport_Focused
