Well_ID,Region,Operator,Maintenance_Type,Shift,Equipment_Status,Weather_Condition,Alert_Level,Production_Date,Last_Maintenance_Date,No_of_Incidents,Production_Barrels,Temperature_C
W-001,Qatar,BP,Emergency,Night,Standby,Rainy,Low,2024-05-04,2022-10-13,3,462.42038564052433,42.38572993331749
W-002,Algeria,BP,Emergency,Day,Active,Sunny,Critical,2024-06-10,2023-10-28,3,149.5050746635095,38.535202112706344
W-003,North Sea,BP,Corrective,Day,Standby,Windy,Medium,2024-04-08,2023-10-04,2,477.10611956085734,33.12294380919678
W-004,Algeria,BP,Routine,Night,Standby,Sandstorm,Medium,2024-02-07,2023-02-25,5,264.236222668935,33.71535483840942
W-005,Algeria,Chevron,Corrective,Night,Failure,Rainy,High,2023-01-20,2022-11-11,3,371.516895009137,36.81718661538205
W-006,Texas,Chevron,Routine,Day,Standby,Sandstorm,Medium,2023-11-17,2022-10-09,3,331.6558648705386,46.04565116608556
W-007,North Sea,Shell,Routine,Day,Failure,Sandstorm,Critical,2023-01-23,2022-07-17,2,635.9066548499846,36.44438579569631
W-008,North Sea,TotalEnergies,Routine,Day,Active,Cloudy,Low,2024-04-29,2023-05-11,3,673.5626125932587,37.54412788233962
W-009,North Sea,BP,Corrective,Night,Standby,Cloudy,High,2023-07-12,2022-07-30,6,540.9876718100971,22.255094667264324
W-010,Algeria,Shell,Routine,Day,Active,Cloudy,Critical,2023-12-04,2023-02-25,1,472.3917557633367,36.28789463648355
W-011,Qatar,TotalEnergies,Corrective,Day,Standby,Rainy,Medium,2023-06-17,2023-04-22,2,503.4006535380314,28.030692666221945
W-012,North Sea,ExxonMobil,Emergency,Night,Active,Sandstorm,Medium,2024-04-14,2023-12-24,2,635.8225802019313,32.56502541379196
W-013,Algeria,Chevron,Emergency,Night,Standby,Sunny,Critical,2024-06-15,2022-10-22,2,261.98860480247527,35.23442960869929
W-014,Texas,TotalEnergies,Routine,Night,Standby,Windy,Low,2023-08-28,2023-06-10,7,370.98777314262156,33.489491455362966
W-015,Qatar,ExxonMobil,Corrective,Night,Standby,Cloudy,Low,2024-06-01,2023-03-12,1,620.4850883350355,31.820200396499875
W-016,Texas,TotalEnergies,Emergency,Night,Standby,Cloudy,High,2023-06-10,2023-04-08,3,645.472517371752,31.86476546833861
W-017,Qatar,Chevron,Corrective,Day,Standby,Sandstorm,Medium,2023-11-17,2022-11-10,8,570.766556001603,33.94475867420872
W-018,Algeria,Chevron,Corrective,Day,Standby,Sandstorm,Critical,2024-05-30,2022-06-03,1,374.60341209778454,33.72645790764201
W-019,Abu Dhabi,Shell,Routine,Night,Standby,Rainy,Low,2023-07-15,2022-09-06,2,618.7458777288125,35.101362839933586
W-020,Qatar,BP,Emergency,Night,Standby,Rainy,High,2024-07-26,2022-12-27,4,663.3719229534622,34.72760841078171
W-021,Texas,TotalEnergies,Routine,Night,Standby,Cloudy,Medium,2023-03-15,2022-12-07,1,586.1900321005029,41.394379786265425
W-022,Algeria,TotalEnergies,Routine,Night,Active,Sandstorm,Medium,2023-01-11,2022-11-17,4,200.7188428183236,24.751996780305735
W-023,Qatar,ExxonMobil,Emergency,Night,Failure,Sunny,High,2024-06-26,2023-07-14,4,514.9513770699172,36.224865951252106
W-024,Abu Dhabi,Chevron,Emergency,Day,Standby,Windy,High,2023-02-11,2022-11-27,4,570.2288077150179,35.3550480512424
W-025,Abu Dhabi,TotalEnergies,Corrective,Day,Failure,Sandstorm,Low,2024-08-18,2023-03-02,2,438.12592036132827,34.32904825920402
W-026,North Sea,Chevron,Emergency,Day,Standby,Sandstorm,Critical,2024-07-24,2022-07-28,5,522.4012308917107,31.47094787384552
W-027,North Sea,TotalEnergies,Corrective,Day,Standby,Rainy,Medium,2023-03-24,2023-01-06,3,438.38490063725936,34.251457576607386
W-028,Texas,Shell,Corrective,Night,Active,Windy,Critical,2023-11-19,2023-11-06,3,396.60879249359044,26.832462209502154
W-029,Qatar,BP,Corrective,Day,Active,Cloudy,Medium,2023-04-21,2023-02-05,3,681.2708980704126,36.03358946100208
W-030,Qatar,TotalEnergies,Emergency,Night,Failure,Sandstorm,Medium,2023-09-14,2023-07-24,2,525.8082404302719,36.940295842104476
W-031,North Sea,Chevron,Routine,Night,Active,Cloudy,Critical,2023-02-06,2022-09-13,3,367.2824424599964,31.479657534917852
W-032,Qatar,Shell,Corrective,Night,Active,Sandstorm,High,2023-05-15,2022-06-28,0,334.8079962153421,44.70345521059207
W-033,Qatar,TotalEnergies,Routine,Day,Failure,Cloudy,Low,2023-08-06,2023-05-14,1,396.6821473589765,34.39777814125755
W-034,Abu Dhabi,ExxonMobil,Routine,Night,Active,Windy,Medium,2023-09-21,2023-07-12,1,397.3311950290835,35.22036411646695
W-035,North Sea,BP,Emergency,Day,Standby,Rainy,High,2024-08-09,2022-09-15,3,517.5836333625605,41.67890832275078
W-036,Algeria,TotalEnergies,Routine,Day,Failure,Windy,Medium,2024-04-29,2022-06-05,5,558.2668066626591,45.71061734934111
W-037,North Sea,Shell,Routine,Night,Failure,Sunny,Low,2024-03-18,2023-09-27,1,558.1384219800741,29.383302930354116
W-038,Algeria,ExxonMobil,Emergency,Night,Standby,Rainy,Medium,2023-11-19,2022-07-17,7,409.98656154142503,32.1141876056333
W-039,Abu Dhabi,Shell,Corrective,Night,Active,Windy,Low,2024-05-18,2023-02-04,3,610.4756857500219,34.48661415503551
W-040,Texas,Shell,Routine,Day,Failure,Sunny,Low,2023-07-23,2023-07-13,2,647.3413178163744,31.28563655178189
W-041,Qatar,ExxonMobil,Emergency,Night,Failure,Sandstorm,Medium,2024-03-01,2022-10-21,6,468.80439595767876,39.23056260675253
W-042,Abu Dhabi,Shell,Routine,Day,Standby,Sandstorm,Medium,2024-08-19,2022-07-21,5,376.1515043453571,30.735085819744164
W-043,Qatar,ExxonMobil,Routine,Night,Standby,Cloudy,Low,2023-07-08,2023-04-05,4,512.0339017450094,41.33301581773317
W-044,Texas,TotalEnergies,Corrective,Night,Active,Rainy,High,2024-02-09,2023-06-14,3,759.20914976758,38.118236246537364
W-045,Texas,ExxonMobil,Routine,Day,Failure,Sandstorm,Critical,2024-05-21,2024-01-15,1,373.0042918549336,40.820215930919915
W-046,Abu Dhabi,ExxonMobil,Emergency,Day,Active,Rainy,Low,2024-07-03,2022-12-24,4,436.8604036439804,30.757480334108234
W-047,Texas,BP,Routine,Day,Active,Sandstorm,Medium,2024-03-06,2022-07-08,1,506.8920872357162,33.082527920402256
W-048,Algeria,ExxonMobil,Corrective,Day,Standby,Cloudy,Medium,2023-06-20,2023-03-18,1,564.9996829419126,39.48992773892036
W-049,Texas,ExxonMobil,Corrective,Day,Failure,Windy,High,2023-07-15,2023-04-10,5,261.73040077752864,38.582965947502906
W-050,Qatar,TotalEnergies,Emergency,Day,Failure,Cloudy,Critical,2023-01-13,2022-10-06,2,656.7065233160208,33.56570619523496
W-051,Qatar,BP,Corrective,Night,Failure,Sunny,Low,2024-04-01,2023-09-13,4,655.0750338417704,34.27733767823544
W-052,Qatar,Chevron,Routine,Night,Standby,Sandstorm,Low,2023-01-26,2022-10-01,6,449.02476310511264,32.82826026090073
W-053,Qatar,TotalEnergies,Corrective,Day,Standby,Sunny,Critical,2024-06-02,2022-11-04,3,824.7941951998715,34.14277987761486
W-054,Algeria,TotalEnergies,Emergency,Night,Standby,Sunny,Low,2023-03-13,2022-07-26,1,647.3246459510951,30.173297302366407
W-055,North Sea,Chevron,Corrective,Day,Standby,Rainy,Critical,2023-04-14,2023-01-26,3,640.9339919585849,29.333912733691697
W-056,Abu Dhabi,ExxonMobil,Corrective,Night,Standby,Sandstorm,Medium,2023-10-13,2023-02-07,2,642.5063827737215,40.02715257806712
W-057,Qatar,Shell,Corrective,Night,Failure,Sunny,Critical,2024-03-18,2023-04-05,4,639.0459270449647,33.97297784958339
W-058,Texas,BP,Emergency,Day,Active,Windy,Low,2023-03-25,2022-12-21,2,497.3708614061265,40.75663870440351
W-059,Qatar,Shell,Corrective,Day,Failure,Sunny,Critical,2023-09-22,2023-09-09,5,485.4848005840576,37.97992400859706
W-060,Texas,Chevron,Corrective,Day,Active,Windy,High,2023-10-17,2022-08-22,3,386.77159187358063,36.56005256303358
W-061,Texas,TotalEnergies,Routine,Night,Standby,Rainy,Medium,2023-05-08,2022-07-03,4,430.71538757243746,31.448891297974416
W-062,Qatar,TotalEnergies,Emergency,Day,Active,Sunny,Medium,2023-03-11,2022-06-12,3,462.6922781257377,28.94610113000998
W-063,Algeria,BP,Corrective,Night,Failure,Cloudy,Critical,2024-05-16,2022-08-26,3,507.85520602277205,32.71545640636427
W-064,Texas,TotalEnergies,Emergency,Day,Failure,Rainy,Low,2023-10-29,2023-06-30,0,691.7955257004205,42.65958703711775
W-065,Texas,TotalEnergies,Corrective,Night,Active,Windy,High,2023-01-09,2022-10-27,3,247.7006214288626,39.444784314335834
W-066,Qatar,BP,Corrective,Night,Standby,Rainy,Medium,2024-04-26,2023-09-15,0,661.3921131293135,32.247930064176344
