datetime,jour_ouvrable,conditions_meteo,temperature,humidite,vitesse_vent,vacances,saison,nb_locations
2011-01-01 00:00:00,0,(1) temps clair,9.84,81,0.0,non,printemps,16
2011-01-01 01:00:00,0,(1) temps clair,9.02,80,0.0,non,printemps,40
2011-01-01 02:00:00,0,(1) temps clair,9.02,80,0.0,non,printemps,32
2011-01-01 03:00:00,0,(1) temps clair,9.84,75,0.0,non,printemps,13
2011-01-01 04:00:00,0,(1) temps clair,9.84,75,0.0,non,printemps,1
2011-01-01 05:00:00,0,(2) nuageux,9.84,75,6.0032,non,printemps,1
2011-01-01 06:00:00,0,(1) temps clair,9.02,80,0.0,non,printemps,2
2011-01-01 07:00:00,0,(1) temps clair,8.2,86,0.0,non,printemps,3
2011-01-01 08:00:00,0,(1) temps clair,9.84,75,0.0,non,printemps,8
2011-01-01 09:00:00,0,(1) temps clair,13.12,76,0.0,non,printemps,14
2011-01-01 10:00:00,0,(1) temps clair,15.58,76,16.9979,non,printemps,36
2011-01-01 11:00:00,0,(1) temps clair,14.76,81,19.0012,non,printemps,56
2011-01-01 12:00:00,0,(1) temps clair,17.22,77,19.0012,non,printemps,84
2011-01-01 13:00:00,0,(2) nuageux,18.86,72,19.9995,non,printemps,94
2011-01-01 14:00:00,0,(2) nuageux,18.86,72,19.0012,non,printemps,106
2011-01-01 15:00:00,0,(2) nuageux,18.04,77,19.9995,non,printemps,110
2011-01-01 16:00:00,0,(2) nuageux,17.22,82,19.9995,non,printemps,93
2011-01-01 17:00:00,0,(2) nuageux,18.04,82,19.0012,non,printemps,67
2011-01-01 18:00:00,0,(3) pluie,17.22,88,16.9979,non,printemps,35
2011-01-01 19:00:00,0,(3) pluie,17.22,88,16.9979,non,printemps,37
2011-01-01 20:00:00,0,(2) nuageux,16.4,87,16.9979,non,printemps,36
2011-01-01 21:00:00,0,(2) nuageux,16.4,87,12.998,non,printemps,34
2011-01-01 22:00:00,0,(2) nuageux,16.4,94,15.0013,non,printemps,28
2011-01-01 23:00:00,0,(2) nuageux,18.86,88,19.9995,non,printemps,39
2011-01-02 00:00:00,0,(2) nuageux,18.86,88,19.9995,non,printemps,17
2011-01-02 01:00:00,0,(2) nuageux,18.04,94,16.9979,non,printemps,17
2011-01-02 02:00:00,0,(2) nuageux,17.22,100,19.0012,non,printemps,9
2011-01-02 03:00:00,0,(2) nuageux,18.86,94,12.998,non,printemps,6
2011-01-02 04:00:00,0,(2) nuageux,18.86,94,12.998,non,printemps,3
2011-01-02 06:00:00,0,(3) pluie,17.22,77,19.9995,non,printemps,2
2011-01-02 07:00:00,0,(2) nuageux,16.4,76,12.998,non,printemps,1
2011-01-02 08:00:00,0,(3) pluie,16.4,71,15.0013,non,printemps,8
2011-01-02 09:00:00,0,(2) nuageux,15.58,76,15.0013,non,printemps,20
2011-01-02 10:00:00,0,(2) nuageux,14.76,81,15.0013,non,printemps,53
2011-01-02 11:00:00,0,(2) nuageux,14.76,71,16.9979,non,printemps,70
2011-01-02 12:00:00,0,(2) nuageux,14.76,66,19.9995,non,printemps,93
2011-01-02 13:00:00,0,(2) nuageux,14.76,66,8.9981,non,printemps,75
2011-01-02 14:00:00,0,(3) pluie,14.76,76,12.998,non,printemps,59
2011-01-02 15:00:00,0,(3) pluie,13.94,81,11.0014,non,printemps,74
2011-01-02 16:00:00,0,(3) pluie,13.94,71,11.0014,non,printemps,76
2011-01-02 17:00:00,0,(1) temps clair,13.94,57,12.998,non,printemps,65
2011-01-02 18:00:00,0,(2) nuageux,14.76,46,22.0028,non,printemps,53
2011-01-02 19:00:00,0,(1) temps clair,13.12,42,30.0026,non,printemps,30
2011-01-02 20:00:00,0,(1) temps clair,12.3,39,23.9994,non,printemps,22
2011-01-02 21:00:00,0,(1) temps clair,10.66,44,22.0028,non,printemps,31
2011-01-02 22:00:00,0,(1) temps clair,9.84,44,19.9995,non,printemps,9
2011-01-02 23:00:00,0,(1) temps clair,9.02,47,11.0014,non,printemps,8
2011-01-03 00:00:00,1,(1) temps clair,9.02,44,23.9994,non,printemps,5
2011-01-03 01:00:00,1,(1) temps clair,8.2,44,27.9993,non,printemps,2
2011-01-03 04:00:00,1,(1) temps clair,6.56,47,26.0027,non,printemps,1
2011-01-03 05:00:00,1,(1) temps clair,6.56,47,19.0012,non,printemps,3
2011-01-03 06:00:00,1,(1) temps clair,5.74,50,26.0027,non,printemps,30
2011-01-03 07:00:00,1,(1) temps clair,5.74,50,12.998,non,printemps,64
2011-01-03 08:00:00,1,(1) temps clair,5.74,50,19.0012,non,printemps,154
2011-01-03 09:00:00,1,(1) temps clair,6.56,43,26.0027,non,printemps,88
2011-01-03 10:00:00,1,(1) temps clair,7.38,43,16.9979,non,printemps,44
2011-01-03 11:00:00,1,(1) temps clair,8.2,40,22.0028,non,printemps,51
2011-01-03 12:00:00,1,(1) temps clair,9.02,35,19.9995,non,printemps,61
2011-01-03 13:00:00,1,(1) temps clair,9.84,35,19.0012,non,printemps,61
2011-01-03 14:00:00,1,(1) temps clair,10.66,30,19.0012,non,printemps,77
2011-01-03 15:00:00,1,(1) temps clair,10.66,30,16.9979,non,printemps,72
2011-01-03 16:00:00,1,(1) temps clair,10.66,30,16.9979,non,printemps,76
2011-01-03 17:00:00,1,(1) temps clair,9.84,30,15.0013,non,printemps,157
2011-01-03 18:00:00,1,(1) temps clair,9.84,32,7.0015,non,printemps,157
2011-01-03 19:00:00,1,(1) temps clair,8.2,47,0.0,non,printemps,110
2011-01-03 20:00:00,1,(1) temps clair,8.2,47,7.0015,non,printemps,52
2011-01-03 21:00:00,1,(1) temps clair,7.38,64,8.9981,non,printemps,52
2011-01-03 22:00:00,1,(1) temps clair,5.74,69,8.9981,non,printemps,20
2011-01-03 23:00:00,1,(1) temps clair,7.38,55,7.0015,non,printemps,12
2011-01-04 00:00:00,1,(1) temps clair,6.56,55,7.0015,non,printemps,5
2011-01-04 01:00:00,1,(1) temps clair,6.56,59,7.0015,non,printemps,2
2011-01-04 02:00:00,1,(1) temps clair,5.74,63,8.9981,non,printemps,1
2011-01-04 04:00:00,1,(1) temps clair,5.74,63,6.0032,non,printemps,2
2011-01-04 05:00:00,1,(1) temps clair,4.92,68,7.0015,non,printemps,4
2011-01-04 06:00:00,1,(1) temps clair,4.92,74,7.0015,non,printemps,36
2011-01-04 07:00:00,1,(1) temps clair,4.92,74,8.9981,non,printemps,94
2011-01-04 08:00:00,1,(1) temps clair,5.74,69,11.0014,non,printemps,179
2011-01-04 09:00:00,1,(1) temps clair,6.56,64,15.0013,non,printemps,100
2011-01-04 10:00:00,1,(2) nuageux,6.56,69,22.0028,non,printemps,42
2011-01-04 11:00:00,1,(1) temps clair,9.02,51,19.9995,non,printemps,57
2011-01-04 12:00:00,1,(1) temps clair,9.02,51,11.0014,non,printemps,78
2011-01-04 13:00:00,1,(1) temps clair,9.84,56,12.998,non,printemps,97
2011-01-04 14:00:00,1,(1) temps clair,10.66,52,15.0013,non,printemps,63
2011-01-04 15:00:00,1,(1) temps clair,11.48,52,16.9979,non,printemps,65
2011-01-04 16:00:00,1,(1) temps clair,12.3,49,16.9979,non,printemps,83
2011-01-04 17:00:00,1,(1) temps clair,11.48,48,15.0013,non,printemps,212
2011-01-04 18:00:00,1,(1) temps clair,10.66,48,12.998,non,printemps,182
2011-01-04 19:00:00,1,(1) temps clair,9.84,48,7.0015,non,printemps,112
2011-01-04 20:00:00,1,(1) temps clair,9.84,48,7.0015,non,printemps,54
2011-01-04 21:00:00,1,(1) temps clair,9.02,64,0.0,non,printemps,48
2011-01-04 22:00:00,1,(1) temps clair,9.02,64,6.0032,non,printemps,35
2011-01-04 23:00:00,1,(1) temps clair,8.2,69,6.0032,non,printemps,11
2011-01-05 00:00:00,1,(1) temps clair,8.2,64,0.0,non,printemps,6
2011-01-05 01:00:00,1,(1) temps clair,6.56,74,6.0032,non,printemps,6
2011-01-05 02:00:00,1,(1) temps clair,6.56,74,6.0032,non,printemps,2
2011-01-05 04:00:00,1,(1) temps clair,9.84,48,15.0013,non,printemps,2
2011-01-05 05:00:00,1,(1) temps clair,9.02,47,11.0014,non,printemps,3
2011-01-05 06:00:00,1,(1) temps clair,8.2,47,15.0013,non,printemps,33
2011-01-05 07:00:00,1,(1) temps clair,7.38,43,12.998,non,printemps,88
2011-01-05 08:00:00,1,(1) temps clair,8.2,40,19.9995,non,printemps,195
2011-01-05 09:00:00,1,(1) temps clair,9.02,37,22.0028,non,printemps,115
2011-01-05 10:00:00,1,(1) temps clair,9.02,37,22.0028,non,printemps,57
2011-01-05 11:00:00,1,(1) temps clair,10.66,33,22.0028,non,printemps,46
2011-01-05 12:00:00,1,(1) temps clair,10.66,33,22.0028,non,printemps,79
2011-01-05 13:00:00,1,(1) temps clair,11.48,30,19.9995,non,printemps,71
2011-01-05 14:00:00,1,(1) temps clair,12.3,28,12.998,non,printemps,62
2011-01-05 15:00:00,1,(1) temps clair,12.3,28,12.998,non,printemps,62
2011-01-05 16:00:00,1,(1) temps clair,12.3,28,6.0032,non,printemps,89
2011-01-05 17:00:00,1,(1) temps clair,9.84,38,12.998,non,printemps,190
2011-01-05 18:00:00,1,(1) temps clair,9.84,38,8.9981,non,printemps,169
2011-01-05 19:00:00,1,(1) temps clair,9.84,38,7.0015,non,printemps,132
2011-01-05 20:00:00,1,(1) temps clair,9.02,47,11.0014,non,printemps,89
2011-01-05 21:00:00,1,(1) temps clair,8.2,51,12.998,non,printemps,43
2011-01-05 22:00:00,1,(1) temps clair,7.38,55,8.9981,non,printemps,42
2011-01-05 23:00:00,1,(1) temps clair,8.2,47,0.0,non,printemps,19
2011-01-06 00:00:00,1,(1) temps clair,7.38,55,0.0,non,printemps,11
2011-01-06 01:00:00,1,(1) temps clair,6.56,64,0.0,non,printemps,4
2011-01-06 02:00:00,1,(1) temps clair,6.56,64,0.0,non,printemps,2
2011-01-06 04:00:00,1,(2) nuageux,6.56,64,6.0032,non,printemps,1
2011-01-06 05:00:00,1,(2) nuageux,5.74,69,6.0032,non,printemps,4
2011-01-06 06:00:00,1,(2) nuageux,5.74,63,7.0015,non,printemps,36
2011-01-06 07:00:00,1,(2) nuageux,6.56,59,0.0,non,printemps,95
2011-01-06 08:00:00,1,(1) temps clair,6.56,59,0.0,non,printemps,219
2011-01-06 09:00:00,1,(2) nuageux,7.38,51,0.0,non,printemps,122
2011-01-06 10:00:00,1,(1) temps clair,8.2,47,0.0,non,printemps,45
2011-01-06 11:00:00,1,(1) temps clair,9.02,44,6.0032,non,printemps,59
2011-01-06 12:00:00,1,(1) temps clair,10.66,35,0.0,non,printemps,84
2011-01-06 13:00:00,1,(1) temps clair,10.66,35,7.0015,non,printemps,67
2011-01-06 14:00:00,1,(1) temps clair,11.48,36,11.0014,non,printemps,70
2011-01-06 15:00:00,1,(1) temps clair,11.48,36,0.0,non,printemps,62
2011-01-06 16:00:00,1,(1) temps clair,10.66,38,11.0014,non,printemps,86
2011-01-06 17:00:00,1,(1) temps clair,9.02,51,11.0014,non,printemps,172
2011-01-06 18:00:00,1,(1) temps clair,9.02,51,8.9981,non,printemps,163
2011-01-06 19:00:00,1,(1) temps clair,9.02,55,6.0032,non,printemps,112
2011-01-06 20:00:00,1,(1) temps clair,8.2,51,11.0014,non,printemps,69
2011-01-06 21:00:00,1,(2) nuageux,9.02,55,15.0013,non,printemps,48
