Flow;Steam;pressure;temperature;compo1;compo2;compo3;compo4;compo5;compo6;compo7;compo8;compo9;compo10;compo11
15,280256;0,3979;2,510542316;811,8885;0,05;0,921;60,327;31,2;1,452;4,407;0;1,012;0,611;0,02;0
12,633184;0,4058;2,188879082;827,0906;0,05;0,921;60,327;31,2;1,452;4,407;0;1,012;0,611;0,02;0
13,7608;0,3204;2,418358341;840,8478;0,05;0,921;60,327;31,2;1,452;4,407;0;1,012;0,611;0,02;0
12,940096;0,4634;2,8802589;800,8063;0,05;0,921;60,327;31,2;1,452;4,407;0;1,012;0,611;0,02;0
15,645024;0,3515;2,637050113;818,3336;0,05;0,921;60,327;31,2;1,452;4,407;0;1,012;0,611;0,02;0
17,914848;0,3281;2,203589291;840,5659;0,05;0,921;60,327;31,2;1,452;4,407;0;1,012;0,611;0,02;0
12,314208;0,4071;2,817495342;816,8601;0,05;0,921;60,327;31,2;1,452;4,407;0;1,012;0,611;0,02;0
17,67168;0,3495;2,710601157;836,5905;0,05;0,921;60,327;31,2;1,452;4,407;0;1,012;0,611;0,02;0
12,778784;0,3462;2,333039129;837,0897;0,05;0,921;60,327;31,2;1,452;4,407;0;1,012;0,611;0,02;0
17,247232;0,3266;2,125134844;836,5424;0,05;0,921;60,327;31,2;1,452;4,407;0;1,012;0,611;0,02;0
13,700736;0,5676;2,112385996;862,4034;0,05;0,921;60,327;31,2;1,452;4,407;0;1,012;0,611;0,02;0
14,497824;0,4226;2,199666569;832,494;0,05;0,921;60,327;31,2;1,452;4,407;0;1,012;0,611;0,02;0
15,167808;0,5437;2,535059331;822,6632;0,05;0,921;60,327;31,2;1,452;4,407;0;1,012;0,611;0,02;0
17,748768;0,3181;2,845935079;841,8328;0,05;0,921;60,327;31,2;1,452;4,407;0;1,012;0,611;0,02;0
16,216512;0,3919;2,786113563;833,296;0,05;0,921;60,327;31,2;1,452;4,407;0;1,012;0,611;0,02;0
13,191136;0,5012;2,21928018;817,3403;0,05;0,921;60,327;31,2;1,452;4,407;0;1,012;0,611;0,02;0
14,106336;0,384;2,573305874;803,9906;0,05;0,921;60,327;31,2;1,452;4,407;0;1,012;0,611;0,02;0
14,032896;0,5949;2,774345396;821,7671;0,05;0,921;60,327;31,2;1,452;4,407;0;1,012;0,611;0,02;0
13,341824;0,4923;2,61645582;815,2142;0,05;0,921;60,327;31,2;1,452;4,407;0;1,012;0,611;0,02;0
17,394816;0,423;2,570363832;843,7493;0,05;0,921;60,327;31,2;1,452;4,407;0;1,012;0,611;0,02;0
14,447648;0,5737;2,981269001;817,8032;0,05;0,921;60,327;31,2;1,452;4,407;0;1,012;0,611;0,02;0
12,959872;0,5123;2,453662842;843,9906;0,05;0,921;60,327;31,2;1,452;4,407;0;1,012;0,611;0,02;0
12,490368;0,5911;2,893988428;818,5868;0,05;0,921;60,327;31,2;1,452;4,407;0;1,012;0,611;0,02;0
