DUTY;ΔP;COKING_RATE;output1;output2;output3;output4;output5;output6;output7;output8;output9;output10;output11;output12;output13;output14;output15;output16;output17;output18;output19;output20;output21;output22;output23;output24;output25;output26;output27;output28;output29;output30;output31;output32;output33;output34;output35;output36;output37;output38;output39;output40;output41;output42;output43;output44;output45;output46;output47
10,90462294;0,41228;;0,885339;0,06672303;20,0513;0,251009;24,3451;3,48087;0,683737;20,2932;0,63674;2,66226;1,825237;5,65318;6,53075;3,00714;0,0257264;0,875825;0,000540138;0,000781587;0,0243209;0,24456;0,0697041;0,0192755;0,2566745;0,000810281;0,300684;0,280234;3,41714;0,0603413;0;0,784584038;0;0;0;1,38906;0,0694659;0;0;0;0,238065111;0;0;0;0,264515;0,2437834;0,022717679;0,2107035;0,827900896
9,71393424;0,344329;;0,996769;0,08955163;21,812;0,389097;27,5252;3,28956;0,887487;18,3176;0,522524;3,03598;1,596653;4,62764;4,01626;1,72878;0,0463192;0,887285;0,000521869;0,000373347;0,0109896;0,222557;0,0544692;0,0147488;0,1942071;0,000349732;0,325781;0,26644;4,35445;0,0593151;0;0,6421771;0;0;0;1,60984;0,0567;0;0;0;0,173564375;0;0;0;0,300158;0,3877617;0,014869447;0,2747401;1,267332648
10,6428456;0,314846;2,62825;1,04173;0,0939843;24,3367;0,430423;28,5975;3,5513;0,863436;15,658;0,463699;3,05063;1,265375;3,46969;2,03334;0,824471;0,0611049;0,834266;0,000668929;0,000134421;0,00378134;0,227137;0,0521689;0,0133939;0,1336042;0,000169172;0,309107;0,228349;5,84133;0,0717762;0;0,523951942;0;0;0;2,08852;0,0579686;0;0;0;0,138671601;0;0;0;0,375756;0,6678772;0,012495067;0,4261453;2,251384956
8,95398352;0,296776;;0,843026;0,07215411;20,1308;0,193568;23,1585;3,73503;0,567166;20,4946;0,682465;2,44286;1,798639;5,81886;6,84602;3,19506;0,0196316;0,866756;0,000639346;0,000839574;0,026664;0,263153;0,0795875;0,0221937;0,2578296;0,00101863;0,284119;0,2744;3,50146;0,0679831;0;0,846397806;0;0;0;1,50798;0,0826027;0;0;0;0,267620847;0;0;0;0,289546;0,2415625;0,028682603;0,230845;0,859737175
11,27961136;0,379943;1,84445;0,913419;0,06992104;21,5062;0,266726;25,2562;3,71629;0,695148;19,2059;0,612386;2,73158;1,659488;5,07344;4,84514;2,18726;0,0302545;0,893482;0,000655075;0,000502657;0,0155006;0,255741;0,0703426;0,0187749;0,222209;0,000586662;0,307346;0,27301;4,20656;0,0691851;0;0,747696547;0;0;0;1,68599;0,0740207;0;0;0;0,221735579;0;0;0;0,319761;0,3439492;0,022127597;0,2861921;1,195240207
14,02138851;0,558254;3,03094;1,02021;0,08055828;22,1514;0,453481;28,213;3,3129;0,971674;17,84;0,506045;3,19788;1,561954;4,33659;3,46829;1,47766;0,0551981;0,882095;0,000505312;0,0003012;0,00868898;0,218151;0,0520208;0,0137177;0,1821257;0,000273332;0,340456;0,262913;4,51706;0,0582875;0;0,603857193;0;0;0;1,6136;0,052917;0;0;0;0,15795276;0;0;0;0,294808;0,4248602;0,013048942;0,2822547;1,373255328
8,951303968;0,255044;1,52262;0,931909;0,0892432;22,7553;0,262988;25,7298;3,87962;0,662472;18,1027;0,588025;2,67683;1,501135;4,58987;3,75492;1,65872;0,0323364;0,88452;0,000768502;0,000342677;0,0105175;0,261873;0,070391;0,0185498;0,1921801;0,000464883;0,297711;0,258467;4,93427;0,0769421;0;0,707465965;0;0;0;1,97577;0,0778139;0;0;0;0,208677945;0;0;0;0,373181;0,4494742;0,021757516;0,3655829;1,597383911
13,50635629;0,465374;2,80444;0,992038;0,09019201;23,1856;0,372002;27,3729;3,6726;0,816518;17,2229;0,529316;2,98167;1,440537;4,10438;2,96042;1,26824;0,0477587;0,876981;0,000682357;0,000240047;0,00705316;0,245377;0,0609816;0,0155816;0,1704776;0,000287581;0,317374;0,252215;5,14676;0,0728604;0;0,619472914;0;0;0;1,91639;0,0660883;0;0;0;0,172701818;0;0;0;0,35367;0,5134637;0,016273809;0,3653513;1,752699474
9,897557984;0,299231;2,31661;1,03614;0,0957613;23,836;0,425359;28,5251;3,47883;0,876676;16,2015;0,472158;3,06322;1,327446;3,69526;2,35131;0,962756;0,0584669;0,849768;0,000634312;0,000166919;0,00473703;0,22514;0,0520572;0,013582;0,1437758;0,000192767;0,314377;0,236674;5,54766;0,0687284;0;0,54716541;0;0;0;1,99578;0,0573591;0;0;0;0,144043059;0;0;0;0,362563;0,6041204;0,012836019;0,3930145;2,019632696
13,35198432;0,536447;2,75345;1,00534;0,07502369;21,6498;0,429978;27,8052;3,27647;0,956414;18,365;0,521068;3,15517;1,631983;4,58861;3,97701;1,71637;0,0505627;0,886591;0,000481831;0,000369675;0,010787;0,217117;0,0527535;0,0140948;0,1967902;0,000325788;0,339326;0,269635;4,23101;0,0558898;0;0,628045767;0;0;0;1,52752;0,052744;0;0;0;0,166305366;0;0;0;0,280882;0,3777914;0,013620037;0,2575183;1,216429834
